Name,Ticker,Yahoo_Equivalent_Code
20 Microns Limited,20MICRONS.NS,"'20MICRONS.NS',"
21st Century Management Services Limited,21STCENMGM.NS,"'21STCENMGM.NS',"
3i Infotech Limited,3IINFOTECH.NS,"'3IINFOTECH.NS',"
3M India Limited,3MINDIA.NS,"'3MINDIA.NS',"
3P Land Holdings Limited,3PLAND.NS,"'3PLAND.NS',"
5Paisa Capital Limited,5PAISA.NS,"'5PAISA.NS',"
63 moons technologies limited,63MOONS.NS,"'63MOONS.NS',"
8K Miles Software Services Limited,8KMILES.NS,"'8KMILES.NS',"
A2Z Infra Engineering Limited,A2ZINFRA.NS,"'A2ZINFRA.NS',"
Aakash Exploration Services Limited,AAKASH.NS,"'AAKASH.NS',"
Aaron Industries Limited,AARON.NS,"'AARON.NS',"
Aarti Drugs Limited,AARTIDRUGS.NS,"'AARTIDRUGS.NS',"
Aarti Industries Limited,AARTIIND.NS,"'AARTIIND.NS',"
Aarti Surfactants Limited,AARTISURF.NS,"'AARTISURF.NS',"
Aarvee Denims & Exports Limited,AARVEEDEN.NS,"'AARVEEDEN.NS',"
Aarvi Encon Limited,AARVI.NS,"'AARVI.NS',"
Aavas Financiers Limited,AAVAS.NS,"'AAVAS.NS',"
Aban Offshore Limited,ABAN.NS,"'ABAN.NS',"
ABB India Limited,ABB.NS,"'ABB.NS',"
Abbott India Limited,ABBOTINDIA.NS,"'ABBOTINDIA.NS',"
Aditya Birla Capital Limited,ABCAPITAL.NS,"'ABCAPITAL.NS',"
Aditya Birla Fashion and Retail Limited,ABFRL.NS,"'ABFRL.NS',"
ABM International Limited,ABMINTLTD.NS,"'ABMINTLTD.NS',"
ACC Limited,ACC.NS,"'ACC.NS',"
Accelya Solutions India Limited,ACCELYA.NS,"'ACCELYA.NS',"
Accuracy Shipping Limited,ACCURACY.NS,"'ACCURACY.NS',"
Action Construction Equipment Limited,ACE.NS,"'ACE.NS',"
Acrysil Limited,ACRYSIL.NS,"'ACRYSIL.NS',"
Adani Enterprises Limited,ADANIENT.NS,"'ADANIENT.NS',"
Adani Green Energy Limited,ADANIGREEN.NS,"'ADANIGREEN.NS',"
Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,"'ADANIPORTS.NS',"
Adani Power Limited,ADANIPOWER.NS,"'ADANIPOWER.NS',"
Adani Transmission Limited,ADANITRANS.NS,"'ADANITRANS.NS',"
ADF Foods Limited,ADFFOODS.NS,"'ADFFOODS.NS',"
Adhunik Industries Limited,ADHUNIKIND.NS,"'ADHUNIKIND.NS',"
Archidply Decor Limited,ADL.NS,"'ADL.NS',"
Ador Welding Limited,ADORWELD.NS,"'ADORWELD.NS',"
Adroit Infotech Limited,ADROITINFO.NS,"'ADROITINFO.NS',"
Allied Digital Services Limited,ADSL.NS,"'ADSL.NS',"
Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS,"'ADVANIHOTR.NS',"
Advanced Enzyme Technologies Limited,ADVENZYMES.NS,"'ADVENZYMES.NS',"
Aegis Logistics Limited,AEGISCHEM.NS,"'AEGISCHEM.NS',"
Affle (India) Limited,AFFLE.NS,"'AFFLE.NS',"
Agarwal Industrial Corporation Limited,AGARIND.NS,"'AGARIND.NS',"
AGC Networks Limited,AGCNET.NS,"'AGCNET.NS',"
Agri-Tech (India) Limited,AGRITECH.NS,"'AGRITECH.NS',"
